Mods count: 382
 
jar name                                                                     | mod id (isMCreator)                                          | mixin configs
    /META-INF/jars/client_events-2.3.13+1.20.1.jar                           | porting_lib_client_events                                    | porting_lib_client_events.mixins.json
        /META-INF/jars/porting_lib_core-2.3.13+1.20.1.jar                    | porting_lib_core                                             | 
    /META-INF/jars/core-3.6.3.jar                                            | com_electronwill_night-config_core                           | 
    /META-INF/jars/entity-2.3.13+1.20.1.jar                                  | porting_lib_entity                                           | porting_lib_entity.mixins.json
        /META-INF/jars/porting_lib_core-2.3.13+1.20.1.jar                    | porting_lib_core                                             | 
        /META-INF/jars/porting_lib_mixin_extensions-2.3.13+1.20.1.jar        | porting_lib_mixin_extensions                                 | porting_lib_mixin_extensions.mixins.json
    /META-INF/jars/extensions-2.3.13+1.20.1.jar                              | porting_lib_extensions                                       | porting_lib_extensions.mixins.json
        /META-INF/jars/porting_lib_accessors-2.3.13+1.20.1.jar               | porting_lib_accessors                                        | porting_lib_accessors.mixins.json
        /META-INF/jars/reach-entity-attributes-2.4.0.jar                     | reach-entity-attributes                                      | mixins.reach-entity-attributes.json
        /META-INF/jars/porting_lib_core-2.3.13+1.20.1.jar                    | porting_lib_core                                             | 
        /META-INF/jars/porting_lib_attributes-2.3.13+1.20.1.jar              | porting_lib_attributes                                       | porting_lib_attributes.mixins.json
        /META-INF/jars/porting_lib_common-2.3.13+1.20.1.jar                  | porting_lib_common                                           | porting_lib_common.mixins.json
    /META-INF/jars/flywheel-fabric-1.20.1-1.0.5-264.jar                      | flywheel                                                     | flywheel.impl.mixins.json, flywheel.impl.sodium.mixins.json, flywheel.backend.mixins.json, flywheel.impl.fabric.mixins.json
    /META-INF/jars/forgeconfigapiport-fabric-8.0.0.jar                       | forgeconfigapiport                                           | forgeconfigapiport.common.mixins.json
    /META-INF/jars/jsr305-3.0.2.jar                                          | com_google_code_findbugs_jsr305                              | 
    /META-INF/jars/milk-lib-1.2.60.jar                                       | milk                                                         | milk.mixins.json
        /META-INF/jars/dripstone-fluid-lib-3.0.2.jar                         | dripstone_fluid_lib                                          | dripstone_fluid_lib.mixins.json
    /META-INF/jars/model_generators-2.3.13+1.20.1.jar                        | porting_lib_model_generators                                 | porting_lib_model_generators.mixins.json
        /META-INF/jars/porting_lib_model_materials-2.3.13+1.20.1.jar         | porting_lib_model_materials                                  | porting_lib_model_materials.mixins.json
        /META-INF/jars/porting_lib_core-2.3.13+1.20.1.jar                    | porting_lib_core                                             | 
        /META-INF/jars/porting_lib_utility-2.3.13+1.20.1.jar                 | porting_lib_utility                                          | 
        /META-INF/jars/porting_lib_data-2.3.13+1.20.1.jar                    | porting_lib_data                                             | porting_lib_data.mixins.json
